ut2;una_inst;colab_inst;colab_inst_ext;ins;ines;inex;nau;nauext;nauesp;wc;sample;citas;py;EU_funded
000312649500003;0;1;0;2;1;1;3;0;1;Business;0;0;2013;0
000312649500003;0;1;0;2;1;1;3;0;1;Management;0;0;2013;0
000312231900019;0;1;0;2;2;0;3;0;3;Education & Educational Research;1;0;2013;0
000312008000002;0;1;1;50;1;49;79;69;4;Psychology, Social;0;0;2013;0
000311193400003;0;1;0;2;2;0;3;0;3;Environmental Studies;1;0;2013;0
000315067600009;1;0;0;1;1;0;3;0;3;Psychology, Experimental;0;0;2013;1
000314892800005;0;1;0;3;3;0;3;0;3;Criminology & Penology;1;0;2013;0
000314892800005;0;1;0;3;3;0;3;0;3;Family Studies;1;0;2013;0
000314892800005;0;1;0;3;3;0;3;0;3;Psychology, Applied;0;0;2013;0
000313829800005;1;0;0;1;1;0;2;0;2;Business, Finance;0;0;2013;0
000313829800005;1;0;0;1;1;0;2;0;2;Economics;0;0;2013;0
000313666300017;1;0;0;1;1;0;5;0;1;Psychology, Multidisciplinary;0;0;2013;0
000313487000004;0;1;1;5;1;4;10;8;2;Public, Environmental & Occupational Health;1;0;2013;1
000314752600001;0;1;1;5;3;2;4;1;3;Public, Environmental & Occupational Health;1;0;2013;0
000314086100001;0;1;1;2;1;1;4;1;1;Management;0;0;2013;0
000313057700003;0;1;1;9;3;6;16;13;3;Psychology, Clinical;0;0;2013;0
000314101000017;0;1;1;11;1;10;12;11;1;Health Care Sciences & Services;1;0;2013;1
000314101000017;0;1;1;11;1;10;12;11;1;Health Policy & Services;1;0;2013;1
000314101000017;0;1;1;11;1;10;12;11;1;Public, Environmental & Occupational Health;1;0;2013;1
000313740300003;0;1;1;2;1;1;3;2;1;Psychology, Experimental;0;0;2013;0
000312520100029;1;0;0;1;1;0;3;0;2;Education, Special;1;0;2013;0
000312587600006;0;1;0;2;1;1;1;0;1;Environmental Studies;1;0;2013;0
000312587600006;0;1;0;2;1;1;1;0;1;Planning & Development;1;0;2013;0
000312587600006;0;1;0;2;1;1;1;0;1;Sociology;1;0;2013;0
000312231900032;1;0;0;1;1;0;2;0;2;Education & Educational Research;1;0;2013;0
000311873000072;0;1;1;3;2;1;7;1;6;Anthropology;1;0;2013;0
000314005400001;0;1;1;3;1;2;3;2;1;Management;0;0;2013;0
000314135300021;0;1;0;5;5;0;5;0;5;Psychology, Multidisciplinary;0;0;2013;0
000314135300021;0;1;0;5;5;0;5;0;5;Psychology, Experimental;0;0;2013;0
000315474400012;0;1;0;2;2;0;4;0;4;Public, Environmental & Occupational Health;1;0;2013;0
000313036700010;1;0;0;1;1;0;3;0;3;Engineering, Industrial;1;0;2013;1
000314275700012;0;1;1;2;1;1;3;1;2;Psychology, Experimental;0;0;2013;0
000313976100010;0;1;1;11;1;10;14;11;3;Public, Environmental & Occupational Health;1;0;2013;1
000313666300004;1;0;0;1;1;0;3;0;1;Psychology, Multidisciplinary;0;0;2013;0
000314521600006;0;1;0;5;5;0;7;0;7;Nursing;1;0;2013;0
000313990400006;0;1;1;2;1;1;2;1;1;Management;0;0;2013;0
000313757200011;0;1;1;5;1;4;3;2;1;Psychology, Clinical;0;0;2013;0
000313606400008;0;1;0;4;3;1;7;0;7;Public, Environmental & Occupational Health;1;0;2013;1
000313374900004;0;1;0;3;3;0;6;0;6;Environmental Studies;1;0;2013;0
000313374900004;0;1;0;3;3;0;6;0;6;Geography;1;0;2013;0
000312674900007;0;1;1;4;3;1;7;1;5;Health Care Sciences & Services;1;0;2013;0
000312674900007;0;1;1;4;3;1;7;1;5;Public, Environmental & Occupational Health;1;0;2013;0
000312231900012;1;0;0;1;1;0;6;0;6;Education & Educational Research;1;0;2013;0
000311873000032;0;1;1;2;1;1;5;4;1;Anthropology;1;0;2013;1
000311853300007;0;1;0;2;1;1;4;0;1;Hospitality, Leisure, Sport & Tourism;1;0;2013;0
000315426600026;0;1;1;6;1;5;8;6;2;Environmental Studies;1;0;2013;0
000314697900010;0;1;1;4;1;3;4;2;2;Business;0;0;2013;0
000314697900010;0;1;1;4;1;3;4;2;2;Economics;0;0;2013;0
000314697900010;0;1;1;4;1;3;4;2;2;Management;0;0;2013;0
000312615400003;0;1;0;4;4;0;4;0;4;Environmental Studies;1;0;2013;0
000312615400003;0;1;0;4;4;0;4;0;4;Hospitality, Leisure, Sport & Tourism;1;0;2013;0
000312615400003;0;1;0;4;4;0;4;0;4;Management;0;0;2013;0
000310424200026;0;1;0;2;2;0;3;0;3;Management;0;0;2013;0
000315374600028;0;1;1;15;1;14;21;17;1;Public, Environmental & Occupational Health;1;0;2013;1
000314976900014;0;1;0;6;6;0;8;0;8;Public, Environmental & Occupational Health;1;0;2013;1
000314753500001;0;1;0;2;2;0;3;0;3;Information Science & Library Science;1;0;2013;1
000314183600013;0;1;1;11;2;9;9;7;2;Public, Environmental & Occupational Health;1;0;2013;0
000314089400015;0;1;1;2;1;1;3;2;1;Business;0;0;2013;0
000314089400015;0;1;1;2;1;1;3;2;1;Economics;0;0;2013;0
000314089400015;0;1;1;2;1;1;3;2;1;Management;0;0;2013;0
000313719100005;0;1;1;5;1;4;3;2;1;Business;0;0;2013;0
000313719100005;0;1;1;5;1;4;3;2;1;Engineering, Industrial;1;0;2013;0
000313719100005;0;1;1;5;1;4;3;2;1;Management;0;0;2013;0
000313335900005;0;1;1;6;1;5;11;10;1;Public, Environmental & Occupational Health;1;0;2013;1
000312839600005;0;1;0;2;2;0;6;0;6;Engineering, Industrial;1;0;2013;1
000313165100020;0;1;1;4;3;1;6;1;5;Health Care Sciences & Services;1;0;2013;0
000311533900006;1;0;0;1;1;0;2;0;2;Engineering, Industrial;1;0;2013;0
000312111000010;0;1;1;5;4;1;6;1;4;Psychology, Multidisciplinary;0;0;2013;0
000314057900002;0;1;0;3;3;0;5;0;5;Anthropology;1;0;2013;0
000314136200008;0;1;0;3;3;0;3;0;3;Psychology, Educational;0;0;2013;0
000313591900004;0;1;1;2;1;1;2;1;1;Psychology, Experimental;0;0;2013;0
000313409600002;0;1;1;8;6;2;6;2;4;Psychology, Clinical;0;0;2013;0
000313409600002;0;1;1;8;6;2;6;2;4;Psychology, Developmental;0;0;2013;0
000312142900015;0;1;1;6;4;2;11;5;6;Public, Environmental & Occupational Health;1;0;2013;0
000312142900016;0;1;0;9;8;1;8;0;8;Public, Environmental & Occupational Health;1;0;2013;0
000302005300004;0;1;0;3;2;1;1;0;1;Economics;0;0;2013;0
000312615400005;0;1;1;4;1;3;5;3;2;Environmental Studies;1;0;2013;0
000312615400005;0;1;1;4;1;3;5;3;2;Hospitality, Leisure, Sport & Tourism;1;0;2013;0
000312615400005;0;1;1;4;1;3;5;3;2;Management;0;0;2013;0
000314913600006;0;1;0;3;3;0;3;0;3;Psychology, Applied;0;0;2013;0
000314913600006;0;1;0;3;3;0;3;0;3;Management;0;0;2013;0
000315315700002;1;0;0;1;1;0;2;0;2;Psychology, Biological;0;0;2013;0
000315315700002;1;0;0;1;1;0;2;0;2;Psychology, Experimental;0;0;2013;0
000314433300016;1;0;0;1;1;0;2;0;2;Psychology, Experimental;0;0;2013;0
000314364100001;0;1;1;7;2;5;10;7;2;Public, Environmental & Occupational Health;1;0;2013;0
000314157800010;0;1;1;2;1;1;3;1;2;Psychology, Biological;0;0;2013;0
000314157800010;0;1;1;2;1;1;3;1;2;Psychology, Experimental;0;0;2013;0
000314156400007;0;1;1;3;2;1;2;1;1;Economics;0;0;2013;0
000314156400007;0;1;1;3;2;1;2;1;1;International Relations;1;0;2013;0
000314156400007;0;1;1;3;2;1;2;1;1;Political Science;1;0;2013;0
000314386100014;0;1;0;2;2;0;4;0;4;Business;0;0;2013;0
000314386100014;0;1;0;2;2;0;4;0;4;Planning & Development;1;0;2013;0
000312731600008;0;1;1;2;1;1;3;1;1;Criminology & Penology;1;0;2013;0
000312731600008;0;1;1;2;1;1;3;1;1;Family Studies;1;0;2013;0
000312731600008;0;1;1;2;1;1;3;1;1;Psychology, Applied;0;0;2013;0
000315043600001;0;1;1;8;1;7;10;9;1;Public, Environmental & Occupational Health;1;0;2013;1
000313775100026;1;0;0;1;1;0;6;0;5;Environmental Studies;1;0;2013;0
000313860400010;0;1;0;3;2;1;2;0;2;Psychology, Clinical;0;0;2013;0
000313281500004;0;1;1;2;1;1;4;3;1;Health Care Sciences & Services;1;0;2013;0
000313281500004;0;1;1;2;1;1;4;3;1;Medical Informatics;1;0;2013;0
000312880500008;1;0;0;1;1;0;2;0;2;Psychology, Clinical;0;0;2013;0
000312880500008;1;0;0;1;1;0;2;0;2;Family Studies;1;0;2013;0
000311873000036;0;1;0;5;4;1;5;0;5;Anthropology;1;0;2013;0
000311645000007;0;1;1;13;1;12;16;14;1;Education, Special;1;0;2013;0
000311193400088;0;1;1;4;1;3;6;5;1;Environmental Studies;1;0;2013;0
000311923000002;0;1;0;6;3;3;1;0;1;Business;0;0;2013;0
000311923000002;0;1;0;6;3;3;1;0;1;Planning & Development;1;0;2013;0
000311537000007;0;1;1;3;1;2;3;2;1;Business;0;0;2013;0
000311537000007;0;1;1;3;1;2;3;2;1;History Of Social Sciences;1;0;2013;0
000313706700014;0;1;1;2;1;1;4;1;3;Engineering, Industrial;1;0;2013;0
000314430700018;0;1;1;3;1;2;3;2;1;Management;0;0;2013;0
000315606700008;0;1;1;4;1;3;6;3;3;Environmental Studies;1;0;2013;0
000315382400023;0;1;0;4;4;0;7;0;7;Public, Environmental & Occupational Health;1;0;2013;0
000315084700006;1;0;0;1;1;0;3;0;3;Psychology, Clinical;0;0;2013;0
000315084700006;1;0;0;1;1;0;3;0;3;Gerontology;1;0;2013;0
000315553000016;1;0;0;1;1;0;2;0;2;Psychology, Social;0;0;2013;0
000314031900013;0;1;0;2;1;1;2;0;2;Demography;1;0;2013;0
000314031900013;0;1;0;2;1;1;2;0;2;Economics;0;0;2013;0
000315367900009;0;1;0;2;2;0;4;0;4;Public, Environmental & Occupational Health;1;0;2013;0
000315162600013;0;1;1;3;1;2;2;1;1;Education, Scientific Disciplines;1;0;2013;0
000314914000001;0;1;1;3;2;1;2;1;1;Public, Environmental & Occupational Health;1;0;2013;0
000314990600003;0;1;0;2;2;0;2;0;2;Education & Educational Research;1;0;2013;0
000314990600003;0;1;0;2;2;0;2;0;2;Linguistics;1;0;2013;0
000314135300003;1;0;0;1;1;0;4;0;4;Psychology, Multidisciplinary;0;0;2013;0
000314135300003;1;0;0;1;1;0;4;0;4;Psychology, Experimental;0;0;2013;0
000314135300015;0;1;0;2;2;0;3;0;3;Psychology, Multidisciplinary;0;0;2013;0
000314135300015;0;1;0;2;2;0;3;0;3;Psychology, Experimental;0;0;2013;0
000315338700007;0;1;0;3;2;1;2;0;2;Psychology, Experimental;0;0;2013;0
000314983000003;0;1;1;3;2;1;2;1;1;Economics;0;0;2013;0
000314983000003;0;1;1;3;2;1;2;1;1;Environmental Studies;1;0;2013;0
000314983000003;0;1;1;3;2;1;2;1;1;Planning & Development;1;0;2013;0
000315063200010;0;1;0;3;2;1;4;0;4;Psychology, Applied;0;0;2013;0
000315063200010;0;1;0;3;2;1;4;0;4;Transportation;1;0;2013;0
000314048700001;0;1;1;3;1;2;4;2;2;Agricultural Economics & Policy;0;0;2013;1
000314048700001;0;1;1;3;1;2;4;2;2;Economics;0;0;2013;1
000314469800006;0;1;1;3;1;2;8;3;5;Health Care Sciences & Services;1;0;2013;1
000314469800006;0;1;1;3;1;2;8;3;5;Public, Environmental & Occupational Health;1;0;2013;1
000313914400006;0;1;1;3;1;2;5;2;1;Psychology, Social;0;0;2013;0
000313152800057;0;1;0;2;2;0;2;0;1;Anthropology;1;0;2013;0
000313976100005;0;1;1;9;1;8;11;10;1;Public, Environmental & Occupational Health;1;0;2013;1
000313259900010;0;1;1;2;1;1;4;1;3;Psychology, Biological;0;0;2013;0
000313259900010;0;1;1;2;1;1;4;1;3;Psychology, Experimental;0;0;2013;0
000312931900007;0;1;1;2;1;1;3;1;1;Psychology, Experimental;0;0;2013;0
000315540900002;0;1;1;2;1;1;4;1;2;Business;0;0;2013;0
000315365100005;1;0;0;1;1;0;4;0;4;Psychology, Applied;0;0;2013;0
000315309300003;0;1;1;3;1;2;3;2;1;Engineering, Industrial;1;0;2013;0
000314481900022;0;1;0;2;2;0;3;0;3;Public, Environmental & Occupational Health;1;0;2013;0
000314734700006;0;1;0;4;4;0;2;0;2;Economics;0;0;2013;0
000313466600028;0;1;1;2;1;1;3;1;2;Information Science & Library Science;1;0;2013;0
000313016300012;1;0;0;1;1;0;4;0;4;Information Science & Library Science;1;0;2013;0
000312659000009;0;1;1;2;1;1;3;1;2;Psychology, Experimental;0;0;2013;1
000312537400016;0;1;1;6;2;4;4;3;1;Anthropology;1;0;2013;0
000312542800001;0;1;1;3;1;2;4;2;2;Business;0;0;2013;0
000312542800001;0;1;1;3;1;2;4;2;2;Ethics;1;0;2013;0
000311961900014;0;1;1;8;2;6;7;6;1;Public, Environmental & Occupational Health;1;0;2013;0
000302008400005;0;1;0;2;2;0;3;0;3;Economics;0;0;2013;0
000314430700011;0;1;0;2;2;0;2;0;2;Management;0;0;2013;1
000315387400006;0;1;0;5;5;0;6;0;6;Economics;0;0;2013;0
000315387400006;0;1;0;5;5;0;6;0;6;Health Policy & Services;1;0;2013;0
000315084700011;1;0;0;1;1;0;4;0;4;Psychology, Clinical;0;0;2013;0
000315084700011;1;0;0;1;1;0;4;0;4;Gerontology;1;0;2013;0
000315369800002;0;1;1;2;1;1;6;1;5;Psychology, Clinical;0;0;2013;0
000315571600003;0;1;0;2;2;0;3;0;3;Communication;1;0;2013;0
000315571600003;0;1;0;2;2;0;3;0;3;Education & Educational Research;1;0;2013;0
000315555600020;0;1;1;2;1;1;3;1;2;Engineering, Industrial;1;0;2013;0
000315579900007;0;1;1;3;2;1;2;1;1;Medical Informatics;1;0;2013;0
000315083900007;0;1;1;2;1;1;2;1;1;Education & Educational Research;1;0;2013;0
000315271400009;1;0;0;1;1;0;3;0;3;Psychology, Clinical;0;0;2013;0
000315242000008;0;1;1;2;1;1;3;2;1;Education, Scientific Disciplines;1;0;2013;0
000315254800024;0;1;0;6;6;0;6;0;6;Gerontology;1;0;2013;0
000315006100001;1;0;0;1;1;0;5;0;5;Psychology, Multidisciplinary;0;0;2013;0
000314714600002;1;0;0;1;1;0;3;0;3;Economics;0;0;2013;0
000313802300040;0;1;0;2;2;0;2;0;2;Social Sciences, Interdisciplinary;1;0;2013;0
000313978900001;0;1;1;2;1;1;2;1;1;Linguistics;1;0;2013;0
000313978900001;0;1;1;2;1;1;2;1;1;Sociology;1;0;2013;0
000313757400004;0;1;1;4;1;3;3;2;1;Business;0;0;2013;0
000313666300020;0;1;1;2;1;1;5;1;1;Psychology, Multidisciplinary;0;0;2013;0
000313374400019;0;1;1;3;1;2;3;2;1;Management;0;0;2013;0
000313374400019;0;1;1;3;1;2;3;2;1;Planning & Development;1;0;2013;0
000313010000010;0;1;0;3;3;0;2;0;2;Economics;0;0;2013;0
000313010000010;0;1;0;3;3;0;2;0;2;Health Policy & Services;1;0;2013;0
000312839600057;1;0;0;1;1;0;6;0;6;Engineering, Industrial;1;0;2013;0
000310767000018;0;1;0;2;2;0;3;0;3;Environmental Studies;1;0;2013;0
000310767000018;0;1;0;2;2;0;3;0;3;Hospitality, Leisure, Sport & Tourism;1;0;2013;0
000310767000018;0;1;0;2;2;0;3;0;3;Management;0;0;2013;0
000312111000031;1;0;0;1;1;0;7;0;7;Psychology, Multidisciplinary;0;0;2013;0
000315242200005;1;0;0;1;1;0;2;0;2;Information Science & Library Science;1;0;2013;0
000315207400003;0;1;1;2;1;1;2;1;1;Health Care Sciences & Services;1;0;2013;0
000314859600006;0;1;0;3;3;0;3;0;3;Hospitality, Leisure, Sport & Tourism;1;0;2013;0
000314859600006;0;1;0;3;3;0;3;0;3;Sociology;1;0;2013;0
000313308700011;0;1;1;3;2;1;3;1;2;Psychology, Biological;0;0;2013;0
000313308700011;0;1;1;3;2;1;3;1;2;Psychology, Experimental;0;0;2013;0
000314472100010;0;1;1;2;0;2;2;1;0;Nursing;1;0;2013;0
000314191600133;0;1;0;2;2;0;3;0;3;Ergonomics;1;0;2013;0
000314191600133;0;1;0;2;2;0;3;0;3;Public, Environmental & Occupational Health;1;0;2013;0
000314191600133;0;1;0;2;2;0;3;0;3;Social Sciences, Interdisciplinary;1;0;2013;0
000314191600133;0;1;0;2;2;0;3;0;3;Transportation;1;0;2013;0
000313952200008;0;1;0;4;4;0;3;0;3;Economics;0;0;2013;0
000313952200008;0;1;0;4;4;0;3;0;3;Environmental Studies;1;0;2013;0
000314057900003;0;1;0;2;2;0;3;0;3;Anthropology;1;0;2013;0
000314384200006;0;1;0;3;3;0;2;0;2;Economics;0;0;2013;0
000314384200006;0;1;0;3;3;0;2;0;2;Health Care Sciences & Services;1;0;2013;0
000314384200006;0;1;0;3;3;0;2;0;2;Health Policy & Services;1;0;2013;0
000314384200020;0;1;1;4;1;3;5;4;1;Economics;0;0;2013;0
000314384200020;0;1;1;4;1;3;5;4;1;Health Care Sciences & Services;1;0;2013;0
000314384200020;0;1;1;4;1;3;5;4;1;Health Policy & Services;1;0;2013;0
000313906400003;0;1;0;2;2;0;2;0;2;Ethnic Studies;1;0;2013;0
000313906400003;0;1;0;2;2;0;2;0;2;History;1;0;2013;0
000313906400003;0;1;0;2;2;0;2;0;2;Political Science;1;0;2013;0
000313906400003;0;1;0;2;2;0;2;0;2;Sociology;1;0;2013;0
000313818700008;0;1;1;2;1;1;2;1;1;Sociology;1;0;2013;0
